Course Code,Course Title,Credits,Prerequisites,Co-requisites,Description,Learning Outcomes
GPSY 307,Marriage and the Family,3,,,See PSY 307 the Psychology curriculum.,Demonstrate understanding of key concepts in Marriage and the Family; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 311,Brain and Behavior,3,,,See PSY 311 in the Psychology curriculum.,Demonstrate understanding of key concepts in Brain and Behavior; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 316,Death and Dying 494 | Page,3,,,See PSY 316 the Psychology curriculum.,
GPSY 322,Motivation and Emotion,3,,,See PSY 322 in the Psychology curriculum.,Demonstrate understanding of key concepts in Motivation and Emotion; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 324,Multicultural Psycholog y,3,,,See PSY 324 in the Psychology curriculum.,Demonstrate understanding of key concepts in Multicultural Psycholog y; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 325,African American Psychology,3,,,See PSY 325 in the Psychology curriculum.,Demonstrate understanding of key concepts in African American Psychology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 399,Junior Seminar,3,,,See PSY 399 in the Psychology curriculum.,Demonstrate understanding of key concepts in Junior Seminar; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 410,Intro to Applied Sport Psychology,3,,,See PSY 410 in the Psychology curriculum.,Demonstrate understanding of key concepts in Intro to Applied Sport Psychology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 412,Personality Development,3,,,See PSY 412 in the Psychology curriculum.,Demonstrate understanding of key concepts in Personality Development; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 416,Psychotherapy & Behavior Change,3,,,See PSY 416 in the Psychology curriculum.,Demonstrate understanding of key concepts in Psychotherapy & Behavior Change; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 418,Health and Medical Psychology,3,,,See PSY 418 in the Psychology curriculum.,Demonstrate understanding of key concepts in Health and Medical Psychology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 419,Cognitive Psychology,3,,,See PSY 419 in the Psychology curriculum.,Demonstrate understanding of key concepts in Cognitive Psychology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 426,Psychology of Intelligence,3,,,See PSY 426 in the Psychology curriculum.,Demonstrate understanding of key concepts in Psychology of Intelligence; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 445,Psychological Research and Theory,3,,,See PSY 445 in the Psychology curriculum.,Demonstrate understanding of key concepts in Psychological Research and Theory; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 450,Psychology Internship,3,,,See PSY 450 in the Psychology curriculum.,Demonstrate understanding of key concepts in Psychology Internship; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GPSY 499,Senior Seminar,3,,,See PSY 499 in the Psychology curriculum.,Demonstrate understanding of key concepts in Senior Seminar; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GRE 211,Survey of World Religion,3,,,See RE 211 in the Religion Curriculum.,Demonstrate understanding of key concepts in Survey of World Religion; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GSPA 101,Elementary Spanish I,3,,,See SPA 101 in the Spanish Curriculum.,Demonstrate understanding of key concepts in Elementary Spanish I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GSPA 102,Elementary Spanish II,3,,,See SPA 102 in the Spanish curriculum.,Demonstrate understanding of key concepts in Elementary Spanish II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GSPE 111,Fundamentals of Speech,3,,,See SPE 111 Fundamentals of Speech in the Speech Curriculum.,Demonstrate understanding of key concepts in Fundamentals of Speech; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GSS 101,African American Experience,3,,,See SS 101 in the Socia l Science curriculum.,Demonstrate understanding of key concepts in African American Experience; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GSS 301,Social Statistics,3,,,See SS 301 in the Social Science curriculum.,Demonstrate understanding of key concepts in Social Statistics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
GSS 403,Methods of Social Research I,3,,,See SS 403 in the Social Science curriculum.,Demonstrate understanding of key concepts in Methods of Social Research I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 101,World Civilizations,3,,,World Civilizations I (HI 101) is one of the Miles College General Education courses and examines the origis of human societies and the development of major world civilizations. This course will examine the various institutions of these civilizations and comparatively examine their connections and interactions.,Demonstrate understanding of key concepts in World Civilizations; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 101H,Honors Western Civilization I,3,,,"An interdisciplinary approach to the study of world history from prehistoric times, this course examin es basic old world cultures of Africa, Asia, Europe and the Americas. It emphasizes how such phenomena as nationalism, industrialism, colonialism, cultural diffusion, and international tensions have shaped world cultures.",Demonstrate understanding of key concepts in Honors Western Civilization I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 102,World C ivilizations II,3,"HI 101 is encouraged, but not required.",,"traces the history of the world's civilizations from the Early Modern to the present. This course will explore the transformation wrought by the Scientific, colonial, liberal and industrial revolutions, and the finally, the world civilizations in the modern world and the great changes wrought by political -ideological revolutions, world war, post colonialism and the post -modern world.",Demonstrate understanding of key concepts in World C ivilizations II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 203,American History I 486 | Page,3,HI 102,,"This course surve ys American history from the Colonial period, American Revolution, the New Nation, American expansion, slavery, civil War and reconstruction. The course focuses on significant landmark political events, but also on the everyday experiences and social histo ry of the period.",
HI 204,American History II,3,HI 203 Total Hours: 15 Junior Year Fall Semester,,"This course emphasizes some of the major issues in American politics and society: the growth of big business; changes in the lives of farmers, workers, and immigrants; the rise of the city; reform movemen ts among rural and urban labor and among minority groups.",Demonstrate understanding of key concepts in American History II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 303,Alabama History,3,HI 204.,,"Alabama History is a survey of state history from the colonial period to the present. It examines Alabama's geography, political and economic development and the groups who have made Alabama their home. This course explores the major events and historical figures of state history and places Alabama in the context of American history.",Demonstrate understanding of key concepts in Alabama History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 308,African American History,3,,,"This course examines the role of African Americans in United States history. It emphasizes slavery, Reconstruction and its aftermath, Jim Crow, the Civil Rights and Black Liberation movements and contemporary African -American life to include African American cultural, intellectual, economic, political and social developments. Prer equisite: HI 204.",Demonstrate understanding of key concepts in African American History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 320,Early American History,3,HI 204.,,"This course examines America from the age of European discovery and colonization to the American Revolution. The course focuses on English colonization in America, the political, social and intellectual forces leading to the American Revolution, and the creation of the United States up to the writing of the Constitution.",Demonstrate understanding of key concepts in Early American History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 321,Nineteenth Century America 487 | Page,3,,,This course examines the history of 19th Century America. Prer equisite: HI 204.,
HI 322,The Civil Rights Movement in America,3,HI 204.,,"This course will examine the events, personalities, and issues of the Civil Rights Movement in America, 1945 to present. Board of Education, Massive Resistance, the White Citizens' Council movement, ―cultural integration, and the Black Power movement.",Demonstrate understanding of key concepts in The Civil Rights Movement in America; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 323,American Urban History,3,HI 204.,,"American Urban History is an examination of the transformation of American cities from the era of the ―walking city‖ to the present. The course will consider urbanization and sub - urbanization, ethnicity and race, economic development, poverty, politics, and federal -city relations.",Demonstrate understanding of key concepts in American Urban History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 324,Women in Modern America,3,HI 204.,,This course examines the experiences and contributions of women in twentieth century America. It gives particular attention t o the forces that served to differentiate the opportunities and roles of women from those of their male peers.,Demonstrate understanding of key concepts in Women in Modern America; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 326,Twentieth Century America,3,HI 204.,,"This course will examine American history to include the progressive Era, World War I and post",Demonstrate understanding of key concepts in Twentieth Century America; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 331,Medieval -Early Modern Europe,3,HI 102,,"Students will learn about European history from the fall of the Roman Empire to the Renaissance. This course will trace the emergence of the medieval monarchies and society out of elements of the late Roman world and the transformation of that synthesis in the troubles of the 14th century. It will also examine political, eco nomic, institutional and social structures.",Demonstrate understanding of key concepts in Medieval -Early Modern Europe; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 332,Modern Europe,3,HI 102 488 | Page,,"This course explores European history from the French Revolut ion through the two world wars. It will explore nationalism, utopianism, European colonial expansion, the Industrial Revolution and the ideological revolution. The course will cover circumstances leading to World War I, the rise of communism, fascism, and World War II.",Demonstrate understanding of key concepts in Modern Europe; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 341,Latin American History,3,HI 102 ● HI History Elective 3 Credit Hours,,This course will examine the various internal dynamics and external influences that have shaped the experiences of the countries of Latin America since independence. Emphasis is placed on socioeconomic structures as the conditioning environment for political and cultural developments.,Demonstrate understanding of key concepts in Latin American History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 343,East Asian Civilization,3,HI 102,,"The survey course will examine the histories of China, Japan and Korea, including their defining historical events, beliefs systems, and interactions. It will include the defining religions and philosophies and institutions up to modern times. It will also examine the influence of the Western powers on the East Asian states and societies.",Demonstrate understanding of key concepts in East Asian Civilization; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 350,Thinking and Writing about History,3,HI 204,,"This course provides advanced training in historical methods and historiography. It emphasizes review of literature of historical inquiry ranging from antiquity to the present and analysis of methodologies, interpretations, values, evidence, and conclusions found in the diversity of historical writings.",Demonstrate understanding of key concepts in Thinking and Writing about History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
HI 408,Southern History,3,"HI 204, HI 303 ● HI History Elective 3 Credit Hours Total Hours: 16 Spring Semester 229 | Page ●",,"Students will learn about Southern history during the antebellum and post- civil War periods through the 20th Century. The course emphasizes slavery and race, social structure, Southern identity and values, the road to secession, and Southern distinctiveness.",Demonstrate understanding of key concepts in Southern History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 412,African History,3,HI 102,,"This is a survey of African history from the Iron Age to 20th Century. It includes such themes as the ancient kingdoms of Africa, the medieval and Islamic kingdoms of Africa, the exploration of Africa, the age of colonialism and the history of southern Africa. Topics will include colonial politics and the political and economic developments from the last two decades of the nineteenth century to the independence movement in the 1960s.",Demonstrate understanding of key concepts in African History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 450,History of the US Foreign Policy,3,HI 204,,This course is a chronological survey of American foreign relations in the twentieth century. Emphasis is placed on diplomatic encounters that redefine the role of the United States on the world stage and the rationales that support major foreign policy relations.,Demonstrate understanding of key concepts in History of the US Foreign Policy; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 451,Special Topics - European History,3,HI 102,,"Subject matter will vary. Subjects covered may include political history, specific events, such as the French Revolution, regions or countries etc.",Demonstrate understanding of key concepts in Special Topics - European History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 452,Special Topics - Non -Western History,3,HI 102,,"Special Topics in non- Western History focuses on shifting regional and thematic studies that may emphasize an interdisciplinary approach. Subject matter will vary. Subjects covered may include women's his tory, ethnic history, political history, specific regions or countries etc.",Demonstrate understanding of key concepts in Special Topics - Non -Western History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HI 453,Special Topics - Comparative History,3,HI 102 International Studies,,"This course focuses on the key historical developments across the world since about 1700 in the form of comparative regional and thematic studies. Subject matter will vary but may include the comparative study of the rise and fall of empires, revolutions, industrialization, state making, ideologies and nationalism.",Demonstrate understanding of key concepts in Special Topics - Comparative History; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HON 402H,Senior Honors Project,3,,,The Senior Honors Project provides a means of fulfilling requirements for a major elective during the Student's senior year. The project may be directed by a professor in the student's major field.,Demonstrate understanding of key concepts in Senior Honors Project; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HP 324,Elementary Methods in Health and Physical Education (P -6),3,,,"Emphasis will be placed on curriculum design, yearly planning, unit planning, and daily lesson planning, as wall as sound teaching strategies. In addition, emphasis will be placed on measurement and evaluation of learning, managemen t of facilities and equipment and the creation of the proper learning environment. Laboratory experiences are provided.",Demonstrate understanding of key concepts in Elementary Methods in Health and Physical Education (P -6); Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HUM 201,Humanities,3,,,"This course is designed to heighten students' understanding of humanity by exposing them to the world of art. Oral skills are stressed, along with reading, writing, and grammar.",Demonstrate understanding of key concepts in Humanities; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
HUM 201H,Humanity and the Arts,3,,,,Demonstrate understanding of key concepts in Humanity and the Arts; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ITS 300,Introduction to International Studies,3,,,"The course Introduction to International Studies is a required course in the International Studies minor. The course is designed to provide an introductory overview of the world theor ies of principle subfields into which the discipline of International Studies is generally divided such as liberalism, realism, and neoliberalism, etc. Broadly conceived, ITS 300 addresses macro -level analysis of world -wide matters. The course offers a bro ad overture to issues of concern to people all over the globe.",Demonstrate understanding of key concepts in Introduction to International Studies; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
ITS 470,Seminar in International Studies,3,"15 hours in the International Studies minor as this is the terminal course for the minor, with exceptions allotted by the Academic Dean, Director of International Studies or Chairperson of the Division Social and Behavioral Sciences. MATHEMATICS",,"The course Seminar in International Studies offers a micro -level analysis of world affairs by a narrow focus on specific regions, i. the Middle East, South Asia, etc. as well as foreign policy considerations and decision making among major states and groups of sta tes. This is the required terminal course in the International Studies minor that builds upon concepts and topics learned in preceding courses in the International Studies minor as to integrate knowledge of worldly issues and develop worldly perspectives in complex ways in which the student must present in written and oral forms the results of a research project.",Demonstrate understanding of key concepts in Seminar in International Studies; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
MA 100,Elementary Algebra,3,,,●,Demonstrate understanding of key concepts in Elementary Algebra; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 101,Intermediate Algebra,3,"A ""C"" or above in MA 100 or a satisfactory score on placement tests.",,This is a required course in Mathematics for all students.,Demonstrate understanding of key concepts in Intermediate Algebra; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 110,Pre-Calculus I,3,MA 101.,,,Demonstrate understanding of key concepts in Pre-Calculus I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 111,Pre-Calculus II,3,MA 110.,,This course deals with trigonometry of both a circle and a triangle.,Demonstrate understanding of key concepts in Pre-Calculus II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 113,Arithmetic for Teachers,3,MA 101.,,"This two part course teaches arithmetic operations, percent's, algebraic translations, and the metric system. It also introduces geometry.",Demonstrate understanding of key concepts in Arithmetic for Teachers; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 114,Arithmetic for Teachers,3,MA 101.,,"This two-part course teaches arithmetic operations, percent's, algebraic translations, and the metric system. It also introduces geometry.",Demonstrate understanding of key concepts in Arithmetic for Teachers; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 201,Analytic Geometry and Calculus I,4,MA 111 Total Hours: 17 Junior Year Fall Semester,,,Demonstrate understanding of key concepts in Analytic Geometry and Calculus I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 202,Analytic Geometry and Calculus II,4,MA 201. Total Hours: 16 Sophomore Year Fall Semester,,,Demonstrate understanding of key concepts in Analytic Geometry and Calculus II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 203,Analytic Geometry and Calculus III,4,MA 202.,,"This c ourse presents polar coordinates, vectors functions of two or more variables, and multiple integrals.",Demonstrate understanding of key concepts in Analytic Geometry and Calculus III; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 217,Probability and Statistics,3,,,This is an initial course in mathematics statistics; statistical languages and notations; describing distributions of measurements; probability; random variance and probability distribution. It is recommended for secondary school teachers and business majors. Prereq uisite: MA 111. ● BY Biology Elective w/Lab 4 Credit Hours 13 Senior Year Fall Semester,Demonstrate understanding of key concepts in Probability and Statistics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 241,Biostatistics,3,,,●,Demonstrate understanding of key concepts in Biostatistics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 308,Differential Equations,3,MA 202.,,"Students learn the classification of differential equations, first order differentia l equations, linear second order equations, series solution, Laplace transforms, and systems of equations.",Demonstrate understanding of key concepts in Differential Equations; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 311,Linear Algebra 237 | Page,3,MA 201.,,"This cour se presents vector spaces, matrices and determinants, linear systems, eigenvalues and canonical forms. It introduces numerical methods.",
MA 315,Theory of Numbers,3,MA 201.,,"This cours e presents Euclidean Algorithms: fundamental theorem on divisibilities, prime numbers, congruence of numbers; theorems of Fermat, Euler and Wilson; congruence of first and higher degrees; LaGrange's theorem with applications: residues; introduction to theory of binary quadratic forms.",Demonstrate understanding of key concepts in Theory of Numbers; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 316,Fundamental Concepts of Algebra,3,MA 110.,,"This is a study of algebraic systems; set truth tables, functions, concepts, inequalities and linear programming, sequences and series. This course does not fulfill any requirements for the mathematics major or minor.",Demonstrate understanding of key concepts in Fundamental Concepts of Algebra; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 318,Mathematical Statistics,3,MA 217.,,"This course teaches statistical inference, inference from small samples, linear regression and correlation, analysis of enumerative data, analysis of variances, and non- parametric statistics.",Demonstrate understanding of key concepts in Mathematical Statistics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
MA 319,Fundamental Concepts of Geometry,3,MA 110.,,This course is primarily designed for secondary education majors and will give consideration of Euclidean and non- Euclidean geometry from both the synthetic and analytical point of view.,Demonstrate understanding of key concepts in Fundamental Concepts of Geometry; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 320,Math of Interest Theory,3,"MA 324 Discrete Mathematics with a ""C"" or better",,"This course is an introduction of how investments grow over time. this is done in a mathematically precise manner. the emphasis is on practical applications that give the reader a concrete understanding of why the various relationships should be true. A mong the modern financial topics introduced are: arbitrage, options, futures and swaps. along with an understanding of probability will provide a solid foundation for readers embarking on actuarial careers. Course",Demonstrate understanding of key concepts in Math of Interest Theory; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 324,Discrete Mathematics,3,MA 101. Computer and Information Sciences Paradigm Freshman Year Fall Semester,,This course provides an introduction to the concepts and techniques of discrete mathematical structures that are used in the theory and applicati on of computer science.,Demonstrate understanding of key concepts in Discrete Mathematics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 325,Actuarial Seminar I,1,"MA324 Discr ete Mathematics with a ""C"" or better",,"This seminar is for students who want to prepare for Society of Actuaries exam P or (CAS Exam 1), Probability. Topics include general probability including conditional probability and Bayes rule, univariate distributions, including binomial, hypergeometric, Poisson, beta, Pareto, gamma, Weibull and normal, and multivariate distributions including joint moment generating functions and transformation techniques.",Demonstrate understanding of key concepts in Actuarial Seminar I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 330,Mathematical Modeling,3,"MA 201 Calculus I with a ""C"" or better Total Hours: 15 Spring Semester",,"This course is an introduction to mathematical modeling based on the use of elementary functions to describe and explore real-world phenomena and data. Other function models may also be considered. Throughout the course computational tools (graphing calculators, spreadsheets, etc.) are used to implement, examine and validate these models. students are expected to actively engage in the modeling process by questioning phenome na, collecting or creating data, and using computational tools to develop their models and evaluate their efficacy.",Demonstrate understanding of key concepts in Mathematical Modeling; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 403,Advanced Calculus I,4,MA 203.,,"This course presents the algebra of sets, functions, mathematical induction, properties of the real number sequences, limits of functions, and continuity.",Demonstrate understanding of key concepts in Advanced Calculus I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 404,Advanced Calculus II,4,MA 403.,,"Students learn differentiation, integrations and integrability; sequences of functions, infinite series, and topology of the real line.",Demonstrate understanding of key concepts in Advanced Calculus II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 405,Mathematical Statistics I,3,"MA 202 Calculus 2 and MA 217 Probability and Statistics with a ""C"" or better. Total Hours: 16 Spring Semester",,,Demonstrate understanding of key concepts in Mathematical Statistics I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 406,Mathematical Statistics II,3,"MA 405 Mathematical Statistics I with a ""C"" or better",,"Calculus based statistical inference; inference from small samples, linear regression and correlation, analysis of enumerative data, analysis of variances, non parametric statistics, sampling distributions, estimation hypothesis testing, simple & multiple regressio n and correlation analysis, x 2 distribution and the analysis of frequencies, and design experiments.",Demonstrate understanding of key concepts in Mathematical Statistics II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
MA 410,History of Mathematics I,3,,,●,Demonstrate understanding of key concepts in History of Mathematics I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 411,History of Mathematics II,3,,,,Demonstrate understanding of key concepts in History of Mathematics II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 412,Complex Variables,3,MA 404 or permission of instructor.,,"This course presents complex numbers; elementary functions; differenti ation and integration; analytic functions; Cauchy's theorem; infinite series, and residues.",Demonstrate understanding of key concepts in Complex Variables; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 415,Actuarial Mathematics I,3,"MA 202 Calculus II and MA 217 Probability & Statistics with a ""C"" or better",,"This course is a special applications course with topics pertaining to application of Calculus and Linear algebra in Actuarial Science. One of the course objectives is for each student to develop a mastery of financial mathematics used by actuaries, based on the mathematics of interest theory.",Demonstrate understanding of key concepts in Actuarial Mathematics I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 416,Actuarial Mathematics II,3,"MA 405 Mathematical Statistics I and MA 415 Actuarial Mathematics I with a ""C"" or better",,"This course has an in depth study of the normal and log -normal distributions, the simple random walk, basics of stochastic calculus, the Samuelson (geometric Brownian motion) stock -price model and the Black -Scholes formula, analysis of option Greeks, market making, non -deterministic interest rate models 9both discrete and continuous -time), bond pricing. Monte -Carlo simulations . Then introduces aspects of basic ratemaking, reserving, catastrophe modeling, and rate classification in a property & casualty actuarial context. explores loss & premium trending, loss triangles, loss development, loss ratios, on-level premium, and accident year vs. calendar year vs. policy year data.",Demonstrate understanding of key concepts in Actuarial Mathematics II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
MA 421,Introduction to Abstract Algebra,3,,,"This course teaches basic terminology, elementary set theory, integer arithmetic, mappings and operations, introduction to groups, rings, fields, and equivalence relations. Prerequis ite: MA 202.",Demonstrate understanding of key concepts in Introduction to Abstract Algebra; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 425,Actuarial Seminar II,1,"MA 320 Math of Interest Theory, AC 212 Principles of Accounting II and GB 361 Principles of Financing with a ""C"" or better",,"This seminar is for students who want to prepare for Society of Actuaries exam P, (or FM Exam 2), Financial Mathematics. Topics include general accounting, interest theory (discrete and continuous) and introduction to derivative securities. It assumes a basic knowledge of calculus and probability.",Demonstrate understanding of key concepts in Actuarial Seminar II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 441,Numerical Analysis I,3,MA 203.,,"This course provides an introduction to error analysis, computer representation of numbers, bisection, Newton's and other methods of root finding interpolation, and least squares approximation.",Demonstrate understanding of key concepts in Numerical Analysis I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
MA 442,Numerical Analysis II,3,MA 441. ●,,This course presents numerical integration for differential equations. It introduces numerical methods for different equations and numerical solutions of linear systems.,Demonstrate understanding of key concepts in Numerical Analysis II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MA 449,Senior Seminar,1,"Senior standing. Total Hours: 9 Biology, BS Program Requirements: 120 hours General Education: 44 hours General Education Curriculum Major Requirements: 18 hours",,"Required of all Mathematics majors in the senior year, this course is intended to acquaint students with contemporary research and presentations as it helps them to prepare for their senior comprehensive examinations.",Demonstrate understanding of key concepts in Senior Seminar; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
MA 450,Research,3,,,Students conduct research in Mathematics under faculty supervision. Permission of instructor required.,Demonstrate understanding of key concepts in Research; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
MA 451,Research II,3,,,Students conduct research in a specific area of Mathematics under faculty supervision. Permission of instructor required. MANAGEMENT,Demonstrate understanding of key concepts in Research II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
MA 460,Special Topics,3,,,●,Demonstrate understanding of key concepts in Special Topics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MAED 107,Mathematics for Education Majors I: Operations with Numbers: P -2,3,MA 101,,"Course One of four concentrated learning experiences for elementary teacher candidates that develop their deep knowledge of elementary mathematics content, focusing on operations with numbers P-2. Should be taken during last semester of sophomore year. Field experience required.",Demonstrate understanding of key concepts in Mathematics for Education Majors I: Operations with Numbers: P -2; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
MAED 207,Mathematics for Education Majors II: Operations with Numbers: Grades 3 -6,3,"MATH 101, MAED 107",,"Course Two of four concentrated leaning experiences for elementary teacher candidates, focusing on operations with numbers and fractions for Grades 3-6, that develop their: deep knowledge of elementary mathematics content. Should be taken during fi rst semester of junior year. Field experience required.",Demonstrate understanding of key concepts in Mathematics for Education Majors II: Operations with Numbers: Grades 3 -6; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
